branch_id,day_of_week,hour_of_day,month,service_type,queue_length,counters_open,wait_minutes
1,1,12,12,GeneralBanking,11,5,13.22
4,0,16,10,CardServices,4,5,12.97
4,4,9,4,WealthManagement,4,5,21.56
3,3,17,12,WealthManagement,4,2,47.93
3,3,13,6,GeneralBanking,10,6,19.42
5,4,10,7,CardServices,1,4,6.4
1,2,11,6,CardServices,10,3,50.13
4,3,13,2,GeneralBanking,4,4,9.17
2,0,11,12,GeneralBanking,2,6,3.51
1,0,9,1,GeneralBanking,3,6,4.17
3,3,14,3,WealthManagement,3,6,9.25
5,2,15,3,WealthManagement,4,4,36.6
4,3,10,4,WealthManagement,0,5,5.38
4,4,11,2,WealthManagement,5,3,35.41
4,3,11,1,WealthManagement,5,5,23.41
4,3,14,9,GeneralBanking,3,5,4.25
3,3,15,12,WealthManagement,6,3,68.29
1,1,15,2,GeneralBanking,8,3,32.58
5,0,17,4,CardServices,1,2,12.15
3,2,15,7,CardServices,5,2,19.85
3,1,11,12,CardServices,3,4,14.73
2,2,9,9,GeneralBanking,7,4,10.37
1,4,14,10,GeneralBanking,12,2,52.58
5,1,17,7,WealthManagement,1,4,11.91
4,0,17,6,GeneralBanking,2,5,2.33
4,1,11,3,GeneralBanking,3,3,11.04
3,1,11,11,WealthManagement,8,3,67.68
5,3,9,10,GeneralBanking,1,3,4.13
3,3,10,1,WealthManagement,2,4,22.11
3,4,13,9,WealthManagement,7,3,66.63
3,3,13,2,CardServices,5,5,9.94
2,2,12,9,GeneralBanking,5,3,12.2
1,4,11,10,GeneralBanking,9,4,20.66
3,0,16,2,GeneralBanking,8,3,19.45
5,0,13,6,CardServices,4,2,27.19
1,0,16,2,GeneralBanking,4,5,6.98
5,4,17,7,CardServices,9,3,26.89
5,2,11,12,GeneralBanking,5,3,10.62
2,0,10,1,CardServices,4,5,7.99
4,2,17,5,GeneralBanking,7,6,7.5
1,0,14,12,WealthManagement,5,5,22.14
4,3,11,4,GeneralBanking,7,6,13.27
4,2,14,2,GeneralBanking,1,6,1.88
2,2,13,6,GeneralBanking,5,4,6.45
1,1,17,7,WealthManagement,7,5,41.14
5,3,11,8,GeneralBanking,6,3,18.79
3,2,17,4,CardServices,6,4,26.47
5,0,17,12,CardServices,1,4,5.15
4,0,10,7,CardServices,3,6,4.68
4,6,10,4,WealthManagement,4,6,13.02
4,5,13,12,WealthManagement,7,4,55.9
1,3,9,12,CardServices,9,5,19.74
2,1,11,6,WealthManagement,7,3,81.33
3,6,12,1,GeneralBanking,3,6,3.71
3,4,17,8,WealthManagement,3,4,18.48
1,3,17,7,CardServices,3,4,12.17
3,2,10,2,WealthManagement,2,5,16.94
1,1,17,8,WealthManagement,1,5,10.45
4,0,9,11,WealthManagement,4,2,54.56
4,5,15,2,WealthManagement,4,3,42.7
5,2,16,9,CardServices,2,2,16.31
4,1,17,2,GeneralBanking,1,5,2.04
2,1,11,9,CardServices,3,2,16.48
5,3,17,6,GeneralBanking,4,3,10.4
3,0,10,1,WealthManagement,5,4,31.14
2,4,13,12,GeneralBanking,9,5,17.78
5,4,13,2,GeneralBanking,1,4,1.97
2,3,11,8,GeneralBanking,4,6,8.09
1,2,9,3,CardServices,3,6,5.64
3,3,15,12,CardServices,3,2,20.26
4,3,12,9,WealthManagement,7,6,27.12
1,3,14,10,CardServices,5,5,16.52
3,0,12,6,GeneralBanking,10,5,17.18
1,2,12,6,GeneralBanking,4,2,19.75
4,0,16,8,GeneralBanking,4,5,8.54
3,2,9,10,CardServices,6,5,14.3
2,1,15,11,WealthManagement,8,4,67.5
2,0,15,1,CardServices,6,2,40.51
3,0,12,8,WealthManagement,7,4,51.61
4,3,11,2,GeneralBanking,3,6,5.25
5,0,9,4,GeneralBanking,1,5,2.05
3,5,17,10,WealthManagement,3,2,45.79
1,3,17,4,GeneralBanking,3,6,5.02
5,1,11,10,GeneralBanking,3,6,4.24
4,3,9,6,CardServices,6,2,38.59
4,0,10,3,WealthManagement,2,6,8.21
1,6,9,5,WealthManagement,4,4,37.13
2,2,16,7,GeneralBanking,7,4,11.62
4,4,17,10,WealthManagement,2,4,18.19
5,0,10,8,WealthManagement,2,5,15.88
3,2,15,12,WealthManagement,6,6,16.88
5,2,10,11,WealthManagement,4,5,33.08
5,5,12,10,GeneralBanking,4,6,6.79
2,3,14,8,WealthManagement,5,6,27.79
5,2,15,4,GeneralBanking,3,2,15.51
2,1,16,5,WealthManagement,7,3,65.42
2,1,9,2,CardServices,1,5,5.46
4,2,10,5,WealthManagement,6,4,36.92
4,2,11,12,CardServices,0,2,3.73
1,0,11,6,CardServices,4,2,29.68
